,car,price,specs
0,BMW 3 SERIES,"£4,000","2010
•
100,000 miles
•
Diesel
•
Manual"
1,BMW 3 SERIES,"£2,795","2008
•
129,000 miles
•
Diesel
•
Manual"
2,BMW 3 SERIES,"£1,500","2005
•
152,000 miles
•
Diesel
•
Manual"
3,BMW X5,"£29,000","2014
•
50,000 miles
•
Diesel
•
Automatic"
4,BMW 4 SERIES,"£24,500","2017
•
35,000 miles
•
Diesel
•
Automatic"
5,BMW 1 SERIES,"£23,500","2017
•
36,000 miles
•
Petrol
•
Manual"
6,BMW 4 SERIES,"£19,000","2014
•
23,000 miles
•
Diesel
•
Automatic"
7,BMW Z4,"£18,500","2014
•
33,000 miles
•
Petrol
•
Manual"
8,BMW X5,"£10,000","2010
•
103,000 miles
•
Diesel
•
Automatic"
9,BMW 1 SERIES,"£9,495
 was £9,500","2012
•
58,000 miles
•
Petrol
•
Automatic"
10,BMW 3 SERIES,"£10,995","2011
•
58,000 miles
•
Petrol
•
Automatic"
11,BMW X1,"£24,999","2017
•
21,000 miles
•
Petrol
•
Automatic"
12,BMW 4 Series,"£24,495
 was £25,000","2017
•
23,841 miles
•
Diesel
•
Automatic"
13,BMW 5 Series,"£8,895","2012
•
83,000 miles
•
Diesel
•
Automatic"
14,BMW 5 SERIES,"£37,000","2016
•
23,000 miles
•
Petrol
•
Automatic"
15,BMW X5,"£22,500","2011
•
31,000 miles
•
Diesel
•
Automatic"
16,BMW 3 Series,"£16,880","2016
•
59,500 miles
•
Petrol/plugin elec h
•
Automatic"
17,BMW X4,"£29,975","2018
•
24,176 miles
•
Diesel
•
Automatic"
18,BMW 6 Series,"£27,000","2018
•
21,929 miles
•
Petrol
•
Automatic"
19,BMW 5 Series,"£17,000","2016
•
79,655 miles
•
Diesel
•
Automatic"
20,BMW 2 Series,"£18,240
 was £18,390","2016
•
28,000 miles
•
Petrol
•
Semiauto"
21,BMW 1 Series,"£13,980","2014
•
44,089 miles
•
Petrol
•
Semiauto"
22,BMW 4 Series,"£18,750
 was £19,000","2017
•
32,982 miles
•
Diesel
•
Manual"
23,BMW 3 SERIES,"£1,695
 was £1,995","2006
•
280,130 miles
•
Diesel
•
Automatic"
24,BMW 2 SERIES,"£15,995
 was £16,295","2015
•
33,000 miles
•
Diesel
•
Automatic"
25,Bmw 2 Series,"£21,999","2017
•
27,081 miles
•
Petrol
•
Manual"
26,Bmw 2 Series,"£19,999","2018
•
26,178 miles
•
Petrol
•
Manual"
27,Bmw 6 Series,"£19,999","2014
•
77,470 miles
•
Petrol
•
Automatic"
28,Bmw 5 Series,"£18,499","2015
•
20,502 miles
•
Petrol
•
Automatic"
29,Bmw X3,"£12,999","2012
•
78,000 miles
•
Diesel
•
Manual"
30,BMW Z4,"£11,495","2009
•
58,800 miles
•
Petrol
•
Manual"
31,BMW X3 M,"£57,790
 was £58,000","2019
•
6,121 miles
•
Petrol
•
Automatic"
32,BMW 5 Series,"£54,190","2020
•
7,119 miles
•
Diesel
•
Automatic"
33,BMW 4 Series,"£51,090","2020
•
4,798 miles
•
Petrol
•
Automatic"
34,BMW M2,"£49,090
 was £51,000","2020
•
7,258 miles
•
Petrol
•
Automatic"
35,BMW M4,"£45,890
 was £47,000","2019
•
20,359 miles
•
Petrol
•
Automatic"
36,BMW 4 Series,"£45,390
 was £50,000","2021
•
1,868 miles
•
Petrol
•
Automatic"
37,BMW M4,"£44,890
 was £47,000","2019
•
9,119 miles
•
Petrol
•
Automatic"
38,BMW X1,"£40,890
 was £41,000","2020
•
4,415 miles
•
Diesel
•
Automatic"
39,BMW X6,"£39,890
 was £40,000","2018
•
20,411 miles
•
Diesel
•
Automatic"
40,BMW X1,"£39,890
 was £40,000","2020
•
1,191 miles
•
Diesel
•
Automatic"
